timestamp,smoke,gas,temperature,humidity,shock,motion,status
0,682,271,23.67,66.64,0,0,0
1,654,294,25.33,68.02,1,0,0
2,601,272,24.3,64.95,0,0,0
3,655,277,21.86,67.9,0,0,0
4,638,261,24.7,65.67,0,0,0
5,687,274,24.97,66.71,0,0,0
6,586,240,24.65,65.94,0,1,0
7,593,228,25.94,63.8,1,0,0
8,587,266,24.54,63.68,0,1,0
9,583,221,23.35,65.29,1,1,0
10,672,282,24.79,68.4,0,1,0
11,679,233,23.91,68.38,0,0,0
12,641,259,25.57,67.32,0,0,0
13,603,245,25.12,66.84,0,0,0
14,608,234,22.75,63.27,1,1,0
15,642,230,25.76,64.19,0,0,0
16,584,260,23.92,65.78,0,0,0
17,641,256,25.98,68.71,0,0,0
18,644,266,26.17,67.59,0,0,0
19,593,246,21.86,67.64,0,1,0
20,656,270,25.1,65.4,1,0,0
21,675,223,24.74,66.71,0,0,0
22,622,248,24.03,65.0,0,1,0
23,624,281,26.1,66.66,1,1,0
24,623,249,24.59,67.5,0,1,0
25,668,281,24.69,65.26,0,0,0
26,695,296,21.81,66.69,0,0,0
27,630,263,24.2,64.97,1,1,0
28,667,271,25.31,65.85,1,1,0
29,618,221,24.09,66.91,1,0,0
30,638,221,24.21,66.01,0,1,0
31,676,220,24.31,65.16,1,1,0
32,611,289,25.92,63.7,0,1,0
33,596,257,26.68,63.2,0,1,0
34,590,235,24.41,67.85,0,1,0
35,672,222,27.05,67.75,0,1,0
36,646,238,24.14,65.46,0,0,0
37,619,258,24.06,65.36,0,0,0
38,673,261,25.98,63.54,0,1,0
39,695,279,25.08,67.0,1,0,0
40,698,228,26.16,63.87,1,0,0
41,599,243,26.1,65.55,1,0,0
42,692,291,25.78,68.21,0,0,0
43,691,244,27.24,66.95,1,0,0
44,620,252,24.99,65.23,1,1,0
45,699,227,25.51,67.88,0,1,0
46,655,278,23.36,64.46,0,1,0
47,617,270,25.33,67.65,0,0,0
48,609,247,26.02,66.79,1,0,0
49,627,238,26.78,66.79,1,0,0
50,623,249,24.85,67.48,0,0,0
51,678,279,24.46,67.55,0,1,0
52,666,252,23.89,64.97,0,1,0
53,674,273,25.76,69.53,1,1,0
54,611,266,26.27,66.1,0,1,0
55,612,228,23.85,68.76,0,1,0
56,698,245,25.37,66.51,0,1,0
57,586,276,23.58,66.99,1,1,0
58,689,235,25.08,65.18,1,0,0
59,642,270,27.78,62.27,0,1,0
60,637,277,24.43,68.18,1,0,0
61,676,227,24.14,67.36,0,0,0
62,647,225,25.05,64.7,0,0,0
63,634,259,22.57,66.37,0,1,0
64,642,238,24.05,65.77,0,1,0
65,696,281,25.61,67.73,0,0,0
66,637,220,23.14,65.31,0,1,0
67,668,220,27.55,68.06,0,0,0
68,655,245,26.52,64.58,0,0,0
69,657,288,24.66,64.79,0,1,0
70,648,295,24.34,68.19,0,1,0
71,680,242,24.61,67.05,0,1,0
72,598,277,28.82,66.17,0,1,0
73,595,243,25.41,67.85,1,1,0
74,591,269,23.76,66.41,0,0,0
75,622,231,25.53,65.78,0,0,0
76,623,248,24.42,66.42,1,0,0
77,605,293,24.25,65.29,0,1,0
78,688,294,25.43,67.16,0,0,0
79,615,229,27.01,62.25,0,0,0
80,678,255,26.53,64.82,1,0,0
81,641,256,25.92,63.78,0,0,0
82,678,249,25.01,67.86,1,0,0
83,665,232,24.71,67.71,1,0,0
84,684,238,24.67,64.77,0,0,0
85,631,235,22.85,65.11,0,1,0
86,664,272,25.75,67.26,0,0,0
87,621,277,25.09,64.65,0,0,0
88,666,294,25.74,68.72,0,1,0
89,586,265,24.48,66.41,0,0,0
90,645,224,23.1,66.16,1,1,0
91,688,284,24.62,66.92,0,0,0
92,624,223,26.59,64.09,0,0,0
93,687,273,23.78,67.66,0,0,0
94,646,264,24.98,65.42,0,1,0
95,671,291,25.39,64.35,0,0,0
96,656,281,24.34,61.08,0,1,0
97,612,257,26.63,65.43,0,1,0
98,624,280,24.68,65.79,0,0,0
99,680,255,25.57,66.11,0,0,0
100,684,268,24.48,69.72,0,1,0
101,697,222,24.87,67.95,1,0,0
102,587,255,22.45,64.95,0,1,0
103,671,260,24.61,62.68,0,0,0
104,652,252,27.07,63.01,1,0,0
105,592,265,27.02,62.54,0,1,0
106,589,275,25.17,68.07,0,0,0
107,699,252,24.87,69.05,0,0,0
108,590,245,25.41,65.83,0,0,0
109,656,252,22.06,64.2,0,0,0
110,691,274,25.31,66.6,0,0,0
111,681,222,26.82,66.62,0,1,0
112,653,236,24.11,64.7,0,0,0
113,624,296,25.4,65.48,1,1,0
114,613,291,25.0,65.15,0,1,0
115,582,269,25.2,68.31,0,1,0
116,673,276,24.32,71.08,0,0,0
117,680,233,23.84,67.37,0,1,0
118,677,257,26.93,68.55,0,0,0
119,630,282,25.43,69.44,0,1,0
120,658,249,26.18,66.66,0,0,0
121,583,229,24.98,67.59,1,1,0
122,667,288,24.99,66.81,0,1,0
123,686,262,24.85,65.85,0,0,0
124,634,299,23.68,66.98,1,0,0
125,646,286,25.56,66.03,0,1,0
126,630,238,24.4,68.09,0,0,0
127,601,240,27.02,70.76,1,1,0
128,625,253,24.55,64.36,0,0,0
129,605,266,24.16,66.43,0,0,0
130,642,267,24.87,65.56,0,1,0
131,692,271,24.34,63.54,0,1,0
132,669,247,24.25,61.62,0,1,0
133,593,278,26.02,64.02,0,0,0
134,689,237,26.83,61.09,0,1,0
135,668,247,24.22,63.84,1,0,0
136,596,232,27.02,67.76,0,0,0
137,688,237,25.09,64.28,0,0,0
138,587,259,23.76,65.62,0,0,0
139,585,271,26.11,69.82,1,0,0
140,688,289,23.32,67.13,0,0,0
141,649,289,24.22,65.03,0,1,0
142,641,243,22.0,67.37,1,1,0
143,674,225,25.47,65.83,1,0,0
144,585,270,25.68,67.66,0,1,0
145,605,270,24.48,66.99,0,1,0
146,647,238,25.77,64.37,1,0,0
147,580,233,25.77,62.68,0,0,0
148,679,296,24.22,66.09,0,1,0
149,589,224,26.21,64.85,0,0,0
150,680,292,25.64,68.88,1,1,0
151,698,254,25.69,65.59,0,1,0
152,687,269,25.45,64.79,0,1,0
153,655,254,25.22,66.71,1,1,0
154,672,291,25.64,67.39,1,1,0
155,614,256,25.65,68.07,0,1,0
156,583,261,26.44,65.18,0,1,0
157,593,251,22.76,65.3,0,0,0
158,594,244,23.55,62.77,0,1,0
159,632,270,22.25,68.86,0,0,0
160,630,291,23.94,67.03,0,0,0
161,612,246,24.42,66.81,0,0,0
162,680,246,26.81,66.8,0,1,0
163,676,257,22.31,67.35,0,1,0
164,631,275,28.81,66.36,0,0,0
165,647,295,26.6,70.0,0,0,0
166,606,288,23.59,64.64,0,0,0
167,669,265,25.91,66.43,1,1,0
168,661,279,23.95,66.41,1,1,0
169,584,256,24.05,66.94,1,0,0
170,588,270,25.22,66.2,0,0,0
171,602,220,28.05,67.05,0,0,0
172,652,272,26.29,64.83,0,1,0
173,620,254,26.02,61.36,0,1,0
174,581,226,26.52,64.36,0,1,0
175,622,278,23.65,65.7,1,0,0
176,650,271,25.97,65.69,0,0,0
177,642,241,24.19,64.69,0,0,0
178,660,268,26.33,66.35,0,0,0
179,683,268,23.73,63.76,0,0,0
180,630,275,24.86,66.31,0,0,0
181,624,249,25.36,68.33,0,1,0
182,694,266,27.92,69.9,0,1,0
183,673,257,24.57,66.48,1,0,0
184,634,222,23.31,64.44,0,1,0
185,676,274,25.58,64.45,0,1,0
186,644,276,24.15,64.54,0,0,0
